Year,Month,Profit
2015,1,2450.1907
2015,2,862.3084000000003
2015,3,498.72989999999845
2015,4,3488.8352000000004
2015,5,2738.7096
2015,6,4976.5244
2015,7,-841.4826000000019
2015,8,5318.1050000000005
2015,9,8328.099399999994
2015,10,3448.2572999999984
2015,11,9292.126899999997
2015,12,8983.5699
2016,1,-3281.007
2016,2,2813.8507999999997
2016,3,9732.097799999998
2016,4,4187.496199999998
2016,5,4667.868999999998
2016,6,3335.5572000000016
2016,7,3288.6482999999985
2016,8,5355.8084
2016,9,8209.162699999999
2016,10,2817.365999999999
2016,11,12474.788400000001
2016,12,8016.9659
2017,1,2824.823300000001
2017,2,5004.579500000001
2017,3,3611.9679999999994
2017,4,2977.814899999999
2017,5,8662.1464
2017,6,4750.378100000002
2017,7,4432.877899999999
2017,8,2062.069299999999
2017,9,9328.6576
2017,10,16243.142500000002
2017,11,4011.4074999999966
2017,12,17885.309299999983
2018,1,7140.4391
2018,2,1613.8719999999978
2018,3,14751.891499999998
2018,4,933.2899999999994
2018,5,6342.582799999996
2018,6,8223.3357
2018,7,6952.6212
2018,8,9040.955699999999
2018,9,10991.555599999998
2018,10,9275.275499999998
2018,11,9690.103699999992
2018,12,8483.346799999998
